all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,181729,308991,1949,2471,1191,135144


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
wrong word,only
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the then only other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the now only other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the currently only other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the probably only other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the virtually only other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only known other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only truly other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only common other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only similar other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only comparable other extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only other largely extant archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."
