all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,181729,308991,1949,2471,1191,135144


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,"I am going to Las Vegas and Los Angeles next month , Italy in November , back to Las Vegas in December , Mexico in January , Magi-Fest in February , the Winter Carnival of Magic in Tennessee in March , Eureka Springs Cavalcade of Magic in March , and the FFFF in April ."
wrong word,next
mutation sentence,"I am going to Las Vegas and Los Angeles next the month , Italy in November , back to Las Vegas in December , Mexico in January , Magi-Fest in February , the Winter Carnival of Magic in Tennessee in March , Eureka Springs Cavalcade of Magic in March , and the FFFF in April ."



"pos from 形容 to 副词
"
original sentence,"It is the only cycle to be preserved in purpose-built surroundings in the UK , and one of very few of its kind in the world ."
wrong word,only
mutation sentence,"It is the only complete cycle to be preserved in purpose-built surroundings in the UK , and one of very few of its kind in the world ."
mutation sentence,"It is the only such cycle to be preserved in purpose-built surroundings in the UK , and one of very few of its kind in the world ."

original sentence,Quilis ( 1964 ) was the only author so far to gather recitation-based experimental evidence on enjambment .
wrong word,only
mutation sentence,Quilis ( 1964 ) was the only published author so far to gather recitation-based experimental evidence on enjambment .

original sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep their discoveries in-house to protect their reputations ."
wrong word,in-house
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to better keep their discoveries in-house to protect their reputations ."
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep all their discoveries in-house to protect their reputations ."
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep their discoveries in-house simply to protect their reputations ."
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep their discoveries in-house just to protect their reputations ."

original sentence,She wrote relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .
wrong word,little
mutation sentence,She wrote only relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .
mutation sentence,She wrote down relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .

original sentence,"The only other Pirates player to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"
wrong word,only
mutation sentence,"The then only other Pirates player to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"
mutation sentence,"The only known other Pirates player to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"

original sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only time he could remember , she began to cry ."
wrong word,only
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only possible time he could remember , she began to cry ."
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only good time he could remember , she began to cry ."
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only known time he could remember , she began to cry ."
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only normal time he could remember , she began to cry ."

original sentence,Kiss anywhere you like and see how long your partner can keep from moving or making any noise .
wrong word,long
mutation sentence,Kiss anywhere you like and see how long that your partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long until your partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long before your partner can keep from moving or making any noise .
