all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,20516,29912,366,392,162,8279


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,Ariel Sharon 's aggressive near annexation of almost half of the occupied West Bank and his indefinite postponement of any Palestinian state have created unprecedented rage and violence .
wrong word,near 5
mutation sentence,Ariel Sharon 's aggressive near annexation and his indefinite postponement of any Palestinian state have created unprecedented rage and violence .



"pos from 形容 to 副词
"
original sentence,That will ensure that I wo nt take up too much of your time !!
wrong word,much 11
mutation sentence,That will ensure that I wo nt take up too much !!

original sentence,I was unable to say much about it in my Risk Electricity Hedging and Trading report because of deadline pressures .
wrong word,much 6
mutation sentence,I was unable to say much in my Risk Electricity Hedging and Trading report because of deadline pressures .

original sentence,Like most of us I was a little skeptical and little worried about the legal aspects of it all .
wrong word,most 2
mutation sentence,Like most I was a little skeptical and little worried about the legal aspects of it all .

original sentence,"Parmesan has spent much of her career studying the checkerspot butterfly , which migrates between Mexico and southern California ."
wrong word,much 4
mutation sentence,"Parmesan has spent much studying the checkerspot butterfly , which migrates between Mexico and southern California ."

original sentence,"Much of the violence aimed at American forces is coming from disgruntled Sunni factions that have their own militias , believe the last elections were a sham , and hold little political power in the government ."
wrong word,Much 1
mutation sentence,"Much is coming from disgruntled Sunni factions that have their own militias , believe the last elections were a sham , and hold little political power in the government ."

original sentence,How much should I be looking at for horse transportation ?
wrong word,much 2
mutation sentence,much should I be looking at for horse transportation ?

original sentence,"Dr. Aster is very kind an gentle with the children , but also positive and to the point with the parents ."
wrong word,kind 5
mutation sentence,"Dr. Aster is kind an gentle with the children , but also positive and to the point with the parents ."

original sentence,I can not say enough about this place .
wrong word,enough 5
mutation sentence,I can not say enough .

original sentence,I learned more about this doing my own research afterward .
wrong word,more 3
mutation sentence,I learned more doing my own research afterward .

original sentence,Very likely it needs a new window seal ) .
wrong word,likely 2
mutation sentence,likely it needs a new window seal ) .

original sentence,How much could it possibly cost ?
wrong word,much 2
mutation sentence,much could it possibly cost ?



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,"Sorry about that , I was working on the Teco O&M costs ."
wrong word,Sorry 1
mutation sentence,"Sorry , I was working on the Teco O&M costs ."



"pos from 形容 to 名词
"
original sentence,"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
wrong word,junior 3
mutation sentence,"Some 2,000 junior officers have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."

original sentence,"It is now abundantly clear that with the rapidly changing face of Afghanistan , the demise of key Northern Alliance figures and the fluid political situation in Afghanistan , Pakistan should reconsider its policy of giving unlimited sanctuary to Taliban extremists living on Pakistani soil ."
wrong word,fluid 24
mutation sentence,"It is now abundantly clear that with the rapidly changing face of Afghanistan , the demise of key Northern Alliance figures and the fluid situation in Afghanistan , Pakistan should reconsider its policy of giving unlimited sanctuary to Taliban extremists living on Pakistani soil ."

original sentence,"It 's just no longer bureaucratically impolite to openly contest the FBI 's ( former ) theory about a lone , American scientist ."
wrong word,lone 20
mutation sentence,"It 's just no longer bureaucratically impolite to openly contest the FBI 's ( former ) theory about a lone , scientist ."

original sentence,"I also deleted "" subject to recall "" based on our discussion , assuming you get approval for that revision ."
wrong word,subject 5
mutation sentence,"I also deleted "" subject "" based on our discussion , assuming you get approval for that revision ."

original sentence,"Attached are an original and blacklined copy of your form of guaranty , which reflect our comments ."
wrong word,original 4
mutation sentence,"Attached are an original and copy of your form of guaranty , which reflect our comments ."

original sentence,"Other "" guidelines "" exist in limited form for the remote offices in Singapore and Australia ."
wrong word,remote 11
mutation sentence,"Other "" guidelines "" exist in form for the remote offices in Singapore and Australia ."

original sentence,He faxed it to you and will have the original Fedexed overnight .
wrong word,original 10
mutation sentence,He faxed it to you and will have the original Fedexed .

original sentence,The price of crude oil on the international market hit a record $ 70.85 a barrel due to the vulnerability of oil and gas fields in the Gulf of Mexico .
wrong word,record 12
mutation sentence,The price of crude oil on the international market hit a record $ 70.85 a barrel .
mutation sentence,The price of crude oil on the international market hit a record $ 70.85 a barrel due to the vulnerability .

original sentence,The successful launch from the Jiuquan Satellite Launch Center in northwest China follows the solo flight of Yang Liwei in October 2003 .
wrong word,solo 15
mutation sentence,The successful launch from the Jiuquan Satellite Launch Center in northwest China follows the solo flight in October 2003 .

original sentence,But they determined to get rid forever of Garcia .
wrong word,rid 6
mutation sentence,But they determined to get rid of Garcia .

original sentence,"My suggestion is to pay close attention to what 's going on in the background and if possible , stand on a chair , get on the ground , do whatever you need to do to get rid of distracting elements ."
wrong word,rid 38
mutation sentence,"My suggestion is to pay close attention to what 's going on in the background and if possible , stand on a chair , get on the ground , do whatever you need to do to get rid of elements ."

original sentence,"I chalked it up to possible nerve damage , because this is what the vet thought and the other cheek muscle was fine and he had no theeth problems ."
wrong word,nerve 7
mutation sentence,"I chalked it up to nerve damage , because this is what the vet thought and the other cheek muscle was fine and he had no theeth problems ."

original sentence,But I found the location wonderful and the neighbors very kind .
wrong word,kind 11
mutation sentence,But I found the location wonderful and the neighbors kind .

original sentence,"You will also have the experience of learning the bella Sicilian culture , that I have fallen in luv with ."
wrong word,bella 10
mutation sentence,"You will also have the experience of learning the bella culture , that I have fallen in luv with ."

original sentence,Overall they are n't very knowledge about the type of games are on the market .
wrong word,knowledge 6
mutation sentence,Overall they are n't knowledge about the type of games are on the market .

original sentence,"Everything was bland , completely void of any spice or flavor ."
wrong word,void 6
mutation sentence,"Everything was bland , void of any spice or flavor ."

original sentence,"It was my birthday and I had a last minute idea to have a bakery cake instead of one pre-made in a convenience store , but the problem was it was the day before Valentine s and when many bakeries turned me down for a plain vanilla rectangle cake , Fiona stepped up to the plate and was able to make a fantastic beautiful cake ."
wrong word,vanilla 47
mutation sentence,"It was my birthday and I had a last minute idea to have a bakery cake instead of one pre-made in a convenience store , but the problem was it was the day before Valentine s and when many bakeries turned me down for a vanilla rectangle cake , Fiona stepped up to the plate and was able to make a fantastic beautiful cake ."

original sentence,He was going to operate and replace my bicuspid aortic valve due to critical aortic stenosis .
wrong word,bicuspid 9
mutation sentence,He was going to operate and replace my bicuspid valve due to critical aortic stenosis .



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .
wrong word,Sri 20
mutation sentence,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri President Chandrika Kumaratunga 's four - day visit to India recently .

original sentence,"Realists , and this even includes members of the U.S. Democratic foreign policy establishment such as Strobe Talbott , who have long sought to divest India of its defensive capability against another nuclear power in Asia , understand the only feasible solution for Kashmir is the acceptance of the status quo ."
wrong word,Democratic 11
mutation sentence,"Realists , and this even includes members of the U.S. Democratic policy establishment such as Strobe Talbott , who have long sought to divest India of its defensive capability against another nuclear power in Asia , understand the only feasible solution for Kashmir is the acceptance of the status quo ."

original sentence,Whether he was actually AWOL during this stint is unclear .
wrong word,AWOL 5
mutation sentence,Whether he was actually AWOL is unclear .

original sentence,"It is crucial to stop Saudi and other financial support of the outer circle , which is the fertile breeding ground of terror ."
wrong word,Saudi 6
mutation sentence,"It is crucial to stop Saudi and other support of the outer circle , which is the fertile breeding ground of terror ."

original sentence,"Although the origins of a movement that was confined largely to the literate culture of intellectual endeavor and patronage can be traced to the earlier part of the 14th century , many aspects of Italian culture and society remained largely Medieval ; the Renaissance did not come into full swing until the end of the century ."
wrong word,Medieval 41
mutation sentence,"Although the origins of a movement that was confined largely to the literate culture of intellectual endeavor and patronage can be traced to the earlier part of the 14th century , many aspects of Italian culture and society remained Medieval ; the Renaissance did not come into full swing until the end of the century ."

original sentence,"Anyway , I was practically raised on this stuff , and being a connoisseur of West Indian cuisine , Jamaica Way is a bit toned down to suit the American palette ."
wrong word,West 16
mutation sentence,"Anyway , I was practically raised on this stuff , and being a connoisseur of West cuisine , Jamaica Way is a bit toned down to suit the American palette ."



"pos from 形容 to 标点
"


"pos from 形容 to 从句连词
"


"pos from 形容 to 符号
"


"pos from 形容 to 动词
"
original sentence,"On the other hand , the US should strong - arm India and Pakistan into a final settlement of the Kashmir issue ."
wrong word,strong 9
mutation sentence,"On the hand , the US should strong - arm India and Pakistan into a final settlement of the Kashmir issue ."
mutation sentence,"On the other hand , the US should strong - arm India and Pakistan into a final settlement ."

original sentence,The debate that a handful of Texas multi-millionnaires close to the Bush family have cleverly manufactured over John Kerry 's war record is absurd in every way .
wrong word,close 9
mutation sentence,The debate that a handful of Texas multi-millionnaires close have cleverly manufactured over John Kerry 's war record is absurd in every way .

original sentence,The two are also set to clash over Russia 's oil wealth .
wrong word,set 5
mutation sentence,The two are set to clash over Russia 's oil wealth .

original sentence,Many families are set to plan a best holidaying .
wrong word,set 4
mutation sentence,Many families are set to plan a holidaying .



"pos from 形容 to 其他
"
original sentence,We did not have big percent of Chinese migration until the mid 90s .
wrong word,mid 12
mutation sentence,We did not have percent of Chinese migration until the mid 90s .



"pos from 介词 to 形容
"
original sentence,"If sites next to you do n't have what you want , contact your nearest comp.sources.unix archive , or the moderator ."
wrong word,next 3
mutation sentence,"If sites next to you do have what you want , contact your nearest comp.sources.unix archive , or the moderator ."

original sentence,"The Beatles of the times of the "" Cavern "" sounded exactly as poorly as Oasis and the little musical quality in the songs of the Beatles is due to George Martin ."
wrong word,due 29
mutation sentence,"The Beatles of the times of the "" Cavern "" sounded exactly as poorly and the little musical quality in the songs of the Beatles is due to George Martin ."
mutation sentence,The Beatles of the times sounded exactly as poorly as Oasis and the little musical quality in the songs of the Beatles is due to George Martin .
mutation sentence,"The Beatles of the times of the "" Cavern "" sounded exactly as poorly as Oasis and the musical quality in the songs of the Beatles is due to George Martin ."
mutation sentence,"The Beatles of the times of the "" Cavern "" sounded exactly as poorly as Oasis and the little musical quality in the songs is due to George Martin ."



"pos from 介词 to 介词
"


"pos from 介词 to 副词
"
original sentence,"His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad , as well as nearly 500 other al - Qaeda operatives , over 400 of whom the Pakistanis have turned over to the US ."
wrong word,over 35
mutation sentence,"His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad , as well as nearly 500 other al - Qaeda operatives , over 400 the Pakistanis have turned over to the US ."

original sentence,Attached is a rough draft of my talking points for a panel I 'll be on at a CEM conference in SF on Thursday afternoon .
wrong word,on 16
mutation sentence,Attached is a rough draft of my talking points for a panel I 'll be on on Thursday afternoon .

original sentence,"Recently , I read an email that reported the horrific nightmare Civet Cats go through by sick losers who put them in sheds and heat the inside of the sheds up to 110 degrees with fires , so that they can periodically scrape the sweat off of their genitals and sell it to corrupt corporations who use it to prolong the scent of perfumes ."
wrong word,through 15
mutation sentence,"Recently , I read an email that reported the horrific nightmare Civet Cats go through ."
mutation sentence,"Recently , I read an email that reported the horrific nightmare Civet Cats go through by losers who put them in sheds and heat the inside of the sheds up to 110 degrees with fires , so that they can periodically scrape the sweat off of their genitals and sell it to corrupt corporations who use it to prolong the scent of perfumes ."

original sentence,"If Iran decides to throw any or all of its 23,000 armored fighting vehicles , along with any or all of its nearly million - strong army , into the Iraq fray , the situation in the Middle East could become unspeakably dire ."
wrong word,along 16
mutation sentence,"If Iran decides to throw any or all of its 23,000 armored fighting vehicles , along with any or all , into the Iraq fray , the situation in the Middle East could become unspeakably dire ."

original sentence,"Besides from Pacquiao , what else is The Philipines famous for ?"
wrong word,Besides 1
mutation sentence,"Besides from Pacquiao , ?"

original sentence,- it chemically sets - gets warm to hot then cools down and hard and
wrong word,down 12
mutation sentence,- it chemically sets - gets warm to hot cools down and hard and

original sentence,"With going outside , put the leash on and just take him for a walk ."
wrong word,on 8
mutation sentence,"With going outside , put the leash on and take him for a walk ."

original sentence,Everybody I know at university intends to stay at uni for as long as possible until there are actually jobs available .
wrong word,for 11
mutation sentence,Everybody I know at university intends to stay at uni for long as possible until there are actually jobs available .

