all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,560384,781233,2315,2710,1553,213976


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,If you are serious about working out in a non-commercial like atmosphere then you have chosen the best place to be .
wrong word,like 11
mutation sentence,If you are serious about working out in a more non-commercial like atmosphere then you have chosen the best place to be .



"pos from 形容 to 副词
"
original sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than Bush does ."
wrong word,more 34
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than even Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than ever Bush does ."

original sentence,""" If China 's economy falters , which , in my view , appears increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
wrong word,likely 16
mutation sentence,""" If China 's economy falters , which , in my view , appears now increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears only increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears already increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."

original sentence,The final phase will feature the assembly and operation of a longer - duration space lab .
wrong word,longer 12
mutation sentence,The final phase will feature the assembly and operation of a longer - duration NASA space lab .

original sentence,I hope all are well .
wrong word,well 5
mutation sentence,I do hope all are well .
mutation sentence,I should hope all are well .
mutation sentence,I would hope all are well .

original sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt .
wrong word,bankrupt 18
mutation sentence,$ 101 m - Amount Lay made from selling all his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling off his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling out his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling back his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling half his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling away his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before that the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the parent company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the latter company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the energy company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the insurance company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the oil company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company itself went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company suddenly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company officially went bankrupt .
