all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,86313,291735,633,6054,859,275301


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,One of the more interesting of the many highrise residential buildings in Fort Lee
wrong word,interesting 5
mutation sentence,One more of the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of perhaps the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of all the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of arguably the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of probably the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of only the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of possibly the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the very many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the so many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the relatively many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the now many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the then many highrise residential buildings in Fort Lee



"pos from 形容 to 副词
"
original sentence,“ It ’ll take that long to put Humpty back together again anyway . ”
wrong word,long 6
mutation sentence,“ It ’ll take him that long to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take them that long to put Humpty back together again anyway . ”

original sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself twice around the world ."
wrong word,long 15
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap it itself twice around the world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself round twice around the world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself safely twice around the world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself in twice around the world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself twice around the small world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself twice around the living world ."

original sentence,Quantcast ranks wikiHow as the 135th most popular site in the US .
wrong word,135th 6
mutation sentence,Quantcast ranks wikiHow as the 135th most popular Wikipedia site in the US .

original sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
wrong word,next 10
mutation sentence,"Requests may have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests could have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests might have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests must have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come out from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the City Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Monte Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of San Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Le Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Lake Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to La Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Nova Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to lake Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Val Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and even from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and especially from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from also the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the Italian regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the Socialist regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the party regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the local regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional political counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional legal counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional youth counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Western Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Eastern Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Southern Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy itself ."

original sentence,Set adjacent to Henga Lodge is the magnificent Henga Scenic Reserve .
wrong word,adjacent 2
mutation sentence,Set adjacent to nearby Henga Lodge is the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Motor Lodge is the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Station Lodge is the magnificent Henga Scenic Reserve .
