all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,393185,548634,3168,2850,1872,157283


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,The above services provide no value to me personally .
wrong word,above 2
mutation sentence,The mentioned above services provide no value to me personally .

original sentence,spreadsheet recalculation of OBSF option premium utilising the above manually created position analysis
wrong word,above 9
mutation sentence,spreadsheet recalculation of OBSF option premium utilising the following above manually created position analysis
mutation sentence,spreadsheet recalculation of OBSF option premium utilising the mentioned above manually created position analysis
mutation sentence,spreadsheet recalculation of OBSF option premium utilising the described above manually created position analysis

original sentence,If you are serious about working out in a non-commercial like atmosphere then you have chosen the best place to be .
wrong word,like 11
mutation sentence,If you are serious about working out in a more non-commercial like atmosphere then you have chosen the best place to be .
mutation sentence,If you are serious about working out in a non-commercial like working atmosphere then you have chosen the best place to be .

original sentence,I work with him and since past 6 years he is hosting his websites to Liquidweb .
wrong word,past 7
mutation sentence,I work with him and since past about 6 years he is hosting his websites to Liquidweb .



"pos from 形容 to 副词
"
original sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than Bush does ."
wrong word,more 34
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows far more now than Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows even more now than Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more right now than Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than even Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than ever Bush does ."

original sentence,"Kalkat , who currently chairs the independent US - based International Council on Conflict Resolution , said despite the failure of the Indian army to disarm or even subdue the Tigers , India remained the only power capable of influencing the course of the current peace talks ."
wrong word,only 36
mutation sentence,"Kalkat , who currently chairs the independent US - based International Council on Conflict Resolution , said despite the failure of the Indian army to disarm or even subdue the Tigers , India remained the only great power capable of influencing the course of the current peace talks ."

original sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the only one of the "" permanent five "" that has not yet done so ."
wrong word,only 54
mutation sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the potential only one of the "" permanent five "" that has not yet done so ."
mutation sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the only remaining one of the "" permanent five "" that has not yet done so ."

original sentence,He said that resistance was the only commonsense solution .
wrong word,only 7
mutation sentence,He said that resistance was the only possible commonsense solution .
mutation sentence,He said that resistance was the only viable commonsense solution .
mutation sentence,He said that resistance was the only effective commonsense solution .
mutation sentence,He said that resistance was the only acceptable commonsense solution .
mutation sentence,He said that resistance was the only practical commonsense solution .
mutation sentence,He said that resistance was the only feasible commonsense solution .
mutation sentence,He said that resistance was the only true commonsense solution .

original sentence,I believe national reconciliation to be the only path forward to a new Iraq .
wrong word,only 8
mutation sentence,I believe national reconciliation to be the only viable path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only realistic path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only acceptable path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only feasible path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only safe path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only legitimate path forward to a new Iraq .

original sentence,"I doubt he will be extradited to Venezuela , which is the only way that question could be answered with a Yes ."
wrong word,only 13
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only logical way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only likely way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only plausible way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only practical way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only sure way that question could be answered with a Yes ."

original sentence,"There was certainly more despair in Saddam 's Iraq than in Paul Bremmer 's Iraq , and no one exploded himself ."
wrong word,more 4
mutation sentence,"There was certainly more political despair in Saddam 's Iraq than in Paul Bremmer 's Iraq , and no one exploded himself ."

original sentence,"The only way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
wrong word,only 2
mutation sentence,"The only effective way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only practical way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only good way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only known way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only available way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only true way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only reliable way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."

original sentence,The lesion is further evidence of Al Qaeda 's anthrax production program at Kandahar .
wrong word,further 4
mutation sentence,The lesion is further direct evidence of Al Qaeda 's anthrax production program at Kandahar .

original sentence,Andre is going to look over the list of curves needed for the global assets ( August Board meeting ) one more time before I forward it to you .
wrong word,more 22
mutation sentence,Andre is going to look over the list of curves needed for the global assets ( August Board meeting ) one more final time before I forward it to you .

original sentence,The only difference we had was for package V02 .
wrong word,only 2
mutation sentence,The only significant difference we had was for package V02 .
mutation sentence,The only noticeable difference we had was for package V02 .
mutation sentence,The only important difference we had was for package V02 .
mutation sentence,The only significant difference we had was for package V02 .
mutation sentence,The only noticeable difference we had was for package V02 .
mutation sentence,The only important difference we had was for package V02 .
mutation sentence,The only significant difference we had was for package V02 .
mutation sentence,The only noticeable difference we had was for package V02 .
mutation sentence,The only important difference we had was for package V02 .

original sentence,"However , we have reserved a block of rooms at the nearby Wyndham Hotel ."
wrong word,nearby 12
mutation sentence,"However , we have reserved a block of rooms at the then nearby Wyndham Hotel ."
mutation sentence,"However , we have reserved a block of rooms at the now nearby Wyndham Hotel ."

original sentence,"Right "" mouse "" click on "" properties "" to view product set - up"
wrong word,Right 1
mutation sentence,"Right after "" mouse "" click on "" properties "" to view product set - up"
mutation sentence,"Right before "" mouse "" click on "" properties "" to view product set - up"

original sentence,"It is far too early to expect Murphy to enter into a physical or financial contract , but Tom hopes to get us first and / or last look from Murphy when the time is right ."
wrong word,right 36
mutation sentence,"It is far too early to expect Murphy to enter into a physical or financial contract , but Tom hopes to get us first and / or last look from Murphy when the time is about right ."

original sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
wrong word,only 15
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only valid one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only available one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only existing one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only legitimate one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only viable one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."

original sentence,"Remember that what you do to yourself affects me and everybody else , remember that what you do to me and anyone else shapes your destiny ."
wrong word,else 12
mutation sentence,"Remember that what you do to yourself affects me and everybody somewhere else , remember that what you do to me and anyone else shapes your destiny ."

original sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY way to invent the cellfone ?
wrong word,ONLY 23
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY right way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY best way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY smart way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY logical way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY perfect way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY correct way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY good way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY only way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY fastest way to invent the cellfone ?

original sentence,""" If China 's economy falters , which , in my view , appears increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
wrong word,likely 16
mutation sentence,""" If China 's economy falters , which , in my view , appears now increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears only increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
