all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,154452,518199,1706,12426,1849,529256


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too .
wrong word,about 19
mutation sentence,Jared just told me you always have a BUNCH of stuff on your plate and I think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I really think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I also think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I honestly think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are definitely about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to suddenly get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to really get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get so much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier now too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier lately too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too now .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too here .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too son .



"pos from 形容 to 副词
"
original sentence,He said that resistance was the only commonsense solution .
wrong word,only 7
mutation sentence,He said that resistance was the really only commonsense solution .
mutation sentence,He said that resistance was the single only commonsense solution .
mutation sentence,He said that resistance was the potential only commonsense solution .
mutation sentence,He said that resistance was the second only commonsense solution .

original sentence,SNAP is right in part .
wrong word,right 3
mutation sentence,SNAP is right in part II .
mutation sentence,SNAP is right in part 1 .
mutation sentence,SNAP is right in part ii .

original sentence,We may arrange for the best airport security in the world .
wrong word,best 6
mutation sentence,We may arrange for the best ever airport security in the world .

original sentence,"The poorest region in the world , by far , is Africa ."
wrong word,poorest 2
mutation sentence,"The poorest producing region in the world , by far , is Africa ."

original sentence,The lesion is further evidence of Al Qaeda 's anthrax production program at Kandahar .
wrong word,further 4
mutation sentence,The lesion is further indirect evidence of Al Qaeda 's anthrax production program at Kandahar .
mutation sentence,The lesion is further direct evidence of Al Qaeda 's anthrax production program at Kandahar .

original sentence,"They were sent in connection with the earlier bombing of the World Trade Center and the imprisonment of the blind sheik , Sheik Abdel Rahman ."
wrong word,earlier 8
mutation sentence,"They were sent in connection with the days earlier bombing of the World Trade Center and the imprisonment of the blind sheik , Sheik Abdel Rahman ."
mutation sentence,"They were sent in connection with the months earlier bombing of the World Trade Center and the imprisonment of the blind sheik , Sheik Abdel Rahman ."
mutation sentence,"They were sent in connection with the weeks earlier bombing of the World Trade Center and the imprisonment of the blind sheik , Sheik Abdel Rahman ."

original sentence,The above services provide no value to me personally .
wrong word,above 2
mutation sentence,The above provided services provide no value to me personally .

original sentence,"If you need any more info , please advise ."
wrong word,more 5
mutation sentence,"If you need any more specific info , please advise ."

