all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213001,728,5623,870,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
wrong word,more 17
mutation sentence,"Birds have relatively shorter , stouter femora than other non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than many non-avian theropods , presumed to be associated with more horizontal orientation ."

original sentence,"“ I was just looking around and thought she was right with me , you know ?"
wrong word,right 11
mutation sentence,"“ I was just looking around and thought she was right with me there , you know ?"

original sentence,"I had to look at my hands very hard for a long , long time ."
wrong word,hard 9
mutation sentence,"I had to look at my own hands very hard for a long , long time ."
mutation sentence,"I had to look at my empty hands very hard for a long , long time ."
mutation sentence,"I had to look at my hands very damn hard for a long , long time ."
mutation sentence,"I had to look at my hands very damned hard for a long , long time ."
mutation sentence,"I had to look at my hands very hard for a really long , long time ."
mutation sentence,"I had to look at my hands very hard for a long , long time afterward ."
mutation sentence,"I had to look at my hands very hard for a long , long time then ."
mutation sentence,"I had to look at my hands very hard for a long , long time there ."
mutation sentence,"I had to look at my hands very hard for a long , long time again ."
mutation sentence,"I had to look at my hands very hard for a long , long time thereafter ."

original sentence,As a result some folks believe wikiHow is a more humane and enjoyable place to work than other places online .
wrong word,online 20
mutation sentence,As a result some folks believe wikiHow is a more humane and enjoyable place to work online than other places online .

original sentence,USI was not alone in receiving a donation .
wrong word,alone 4
mutation sentence,USI was not alone however in receiving a donation .
mutation sentence,USI was not alone here in receiving a donation .
mutation sentence,USI was not alone statewide in receiving a donation .
mutation sentence,USI was not alone there in receiving a donation .
mutation sentence,USI was not alone worldwide in receiving a donation .
mutation sentence,USI was not alone in also receiving a donation .
mutation sentence,USI was not alone in finally receiving a donation .

original sentence,"Using chalk , a stick , or your finger , draw a line on the ground 12 "" ( 30 cm ) long ."
wrong word,long 23
mutation sentence,"Using chalk , a stick , or your finger , draw a line on the ground 12 "" ( 30 cm ) long vertically ."
mutation sentence,"Using chalk , a stick , or your finger , draw a line on the ground 12 "" ( 30 cm ) long evenly ."



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"


"pos from 形容 to 名词
"
original sentence,One of the main factors in lighting energy consumption is the light bulb .
wrong word,light 12
mutation sentence,One of the main factors in lighting energy consumption is the fluorescent light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the electric light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the single light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the flat light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the solar light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the square light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the overhead light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the bulb light bulb .
mutation sentence,One of the main factors in lighting energy consumption is the plastic light bulb .

original sentence,"In our experimental setup , we attempted to more closely mimic non-avian theropod tail morphology , in which mass is distributed through a distally tapering tail ."
wrong word,theropod 13
mutation sentence,"In our experimental setup , we attempted to more closely mimic non-avian theropod tail morphology , in which molecular mass is distributed through a distally tapering tail ."

original sentence,"He is particularly remembered for his applications of mathematics to mechanics , especially fluid mechanics , and for his pioneering work in probability and statistics ."
wrong word,fluid 14
mutation sentence,"He is particularly remembered for his applications of mathematics to classical mechanics , especially fluid mechanics , and for his pioneering work in probability and statistics ."
mutation sentence,"He is particularly remembered for his applications of mathematics to mathematical mechanics , especially fluid mechanics , and for his pioneering work in probability and statistics ."
mutation sentence,"He is particularly remembered for his applications of mathematics to statistical mechanics , especially fluid mechanics , and for his pioneering work in probability and statistics ."
mutation sentence,"He is particularly remembered for his applications of mathematics to mechanics , especially fluid mechanics , and for his pioneering scientific work in probability and statistics ."
mutation sentence,"He is particularly remembered for his applications of mathematics to mechanics , especially fluid mechanics , and for his pioneering empirical work in probability and statistics ."

original sentence,"She unclipped the cell phone from the back of Santa ’s girdle , and pushed the button with the green arrow , serrated to look like a double-edged diving knife ."
wrong word,diving 29
mutation sentence,"She unclipped the cell phone from the back of Santa ’s girdle , and pushed the button with the green arrow , serrated to look like a double-edged silver diving knife ."

original sentence,"I arrived at the playground to find Pag the center of attention for some half-dozen kids , those lucky few in front punching him in the head , the others making do with taunts of mongrel and polly while waiting their turn ."
wrong word,half-dozen 15
mutation sentence,"I arrived at the playground to find Pag the center of attention for some half-dozen other kids , those lucky few in front punching him in the head , the others making do with taunts of mongrel and polly while waiting their turn ."
mutation sentence,"I arrived at the playground to find Pag the center of attention for some half-dozen little kids , those lucky few in front punching him in the head , the others making do with taunts of mongrel and polly while waiting their turn ."
mutation sentence,"I arrived at the playground to find Pag the center of attention for some half-dozen younger kids , those lucky few in front punching him in the head , the others making do with taunts of mongrel and polly while waiting their turn ."
mutation sentence,"I arrived at the playground to find Pag the center of attention for some half-dozen screaming kids , those lucky few in front punching him in the head , the others making do with taunts of mongrel and polly while waiting their turn ."

original sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality information yet ."
wrong word,quality 20
mutation sentence,"People want to learn more practical skills , and for the most part the mobile internet does n't provide enough quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide high enough quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide quite enough quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide good enough quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide nearly enough quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide much enough quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough high quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough good quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality practical information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality useful information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality basic information yet ."
